booth,station,station_name,line_name,division,borough,right_of_way,location,position,access,into,status,tracked_as,details,has_booth,lat,lon
B011,BOTANIC GARDEN,Botanic Garden,S2345,BMT,Bk,Franklin Ave Line,President St,,Mez,,Closed,,,0,40.669280,-73.959631
B012,PROSPECT PARK,Prospect Park,BQS,BMT,Bk,Brighton Line (Ocean-Flatbush Aves),"Empire Blvd, Ocean Ave",,Mez,,Open,,,0,40.662273,-73.962354
B013,PROSPECT PARK,Prospect Park,BQS,BMT,Bk,Brighton Line (Ocean-Flatbush Aves),Lincoln Rd,,Mez,,Open,,,1,40.660886,-73.962123
B014,PARKSIDE AV,Parkside Av,BQ,BMT,Bk,Brighton Line (Ocean-Flatbush Aves),Parkside Ave,,Mez,,Open,,,1,40.655344,-73.961491
B015,CHURCH AV,Church Av,BQ,BMT,Bk,Brighton Line (St Pauls Pl),Caton Ave,,Mez,,Open,,,0,40.651443,-73.962710
B016,CHURCH AV,Church Av,BQ,BMT,Bk,Brighton Line (E 18th St),Church Ave,,Mez,,Open,,,1,40.649508,-73.963399
B017,BEVERLEY ROAD,Beverley Rd,BQ,BMT,Bk,Brighton Line (E 15th-16th Sts),Beverley Rd,,Mez,,Open,,,1,40.644219,-73.964524
B018,CORTELYOU RD,Cortelyou Rd,BQ,BMT,Bk,Brighton Line (E 15th-16th Sts),Cortelyou Rd,,Mez,,Open,,,1,40.641566,-73.964035
B019,NEWKIRK PLAZA,Newkirk Plaza,BQ,BMT,Bk,Brighton Line (E 15th-16th Sts),Newkirk Plaza,,Mez,,Open,,,1,40.634988,-73.962778
B020,AVENUE H,Avenue H,BQ,BMT,Bk,Brighton Line (E 15th-16th Sts),Avenue H,,Mez,,Open,,,1,40.630023,-73.961826
B021,AVENUE J,Avenue J,BQ,BMT,Bk,Brighton Line (E 15th-16th Sts),Avenue J,,Mez,,Open,,,1,40.625081,-73.960816
B022,AVENUE M,Avenue M,BQ,BMT,Bk,Brighton Line (E 15th-16th Sts),Avenue M,,Mez,,Open,,,1,40.617924,-73.959462
B023,KINGS HWY,Kings Hwy,BQ,BMT,Bk,Brighton Line (E 15th-16th Sts),Kings Hwy,N/S,Mez,,Open,,,0,40.609092,-73.957820
B024,KINGS HWY,Kings Hwy,BQ,BMT,Bk,Brighton Line (E 15th-16th Sts),Kings Hwy,S/S,Mez,,Open,,,1,40.608799,-73.957777
B024A,KINGS HWY,Kings Hwy,BQ,BMT,Bk,Brighton Line (E 15th-16th Sts),Quentin Rd,,Mez,,Open,,,0,40.608331,-73.957414
B025,AVENUE U,Avenue U,BQ,BMT,Bk,Brighton Line (E 15th-16th Sts),Avenue U,,Mez,,Open,,,1,40.599092,-73.955990
B026,NECK RD,Neck Rd,BQ,BMT,Bk,Brighton Line (E 15th-16th Sts),Neck Rd,,Mez,,Open,,,1,40.595130,-73.955139
B027,SHEEPSHEAD BAY,Sheepshead Bay,BQ,BMT,Bk,Brighton Line (E 15th-16th Sts),Sheepshead Bay Rd,,Mez,,Open,,,1,40.587230,-73.954210
B028,SHEEPSHEAD BAY,Sheepshead Bay,BQ,BMT,Bk,Brighton Line (E 15th-16th Sts),"Voorhies Ave, Shore Pkwy",,Mez,,Open,,,0,40.585845,-73.954323
B029,BRIGHTON BEACH,Brighton Beach,BQ,BMT,Bk,Brighton Beach Ave,Brighton 7th St,,Mez,,Open,,,1,40.577842,-73.960322
B031,BRIGHTON BEACH,Brighton Beach,BQ,BMT,Bk,Brighton Beach Ave,Brighton 5th St,,Mez,,Open,,,0,40.577471,-73.962049
B032,OCEAN PKWY,Ocean Pkwy,Q,BMT,Bk,Brighton Beach Ave,Ocean Pkwy,,Mez,,Open,,,1,40.576347,-73.967648
B034,OCEAN PKWY,Ocean Pkwy,Q,BMT,Bk,Brighton Beach Ave,W 1st St,,Mez,,Open,,,0,40.576412,-73.969514
C001,BOROUGH HALL,Court St,R2345,BMT,Bk,Montague St,Clinton St,,Mez,,Closed,,Temporary closure,0,40.694341,-73.992617
C003,JAY ST-METROTEC,Jay St-MetroTech,R,BMT,Bk,Willoughby St,Lawrence St,,Mez,,Open,,,1,40.692191,-73.986167
C004,JAY ST-METROTEC,Jay St-MetroTech,R,BMT,Bk,Willoughby St,Bridge St,,Mez,,Open,,,0,40.692102,-73.985284
C006,DEKALB AV,DeKalb Av,BDNQR,BMT,Bk,Flatbush Ave Ext,Fleet St,,Mez,,Open,C008,,0,40.691264,-73.982160
C007,DEKALB AV,DeKalb Av,BDNQR,BMT,Bk,Flatbush Ave Ext,Fleet St-DeKalb Ave,W/S,Mez,,Closed,,"Open as cross-over, exit demolished",0,40.690455,-73.981904
C008,DEKALB AV,DeKalb Av,BDNQR,BMT,Bk,Flatbush Ave Ext,DeKalb Ave,,Mez,,Open,,,1,40.689734,-73.981374
C009,ATL AV-BARCLAY,Atlantic Av-Barclays Ctr,BDNQR2345,BMT,Bk,4th Ave,Pacific St,,Mez,,Open,,,1,40.683910,-73.978658
C010,UNION ST,Union St,R,BMT,Bk,4th Ave,Union St,,N/B,,Open,,,1,40.677136,-73.983039
C011,UNION ST,Union St,R,BMT,Bk,4th Ave,Union St,,S/B,,Open,,,0,40.677242,-73.983351
C012,4AV-9 ST,4 Av-9 St,DFGMNR,BMT,Bk,4th Ave,9th St,,N/B,,Open,,,0,40.670404,-73.988505
C013,4AV-9 ST,4 Av-9 St,DFGMNR,BMT,Bk,4th Ave,9th St,,S/B,,Open,C012,,0,40.670550,-73.988714
C014,PROSPECT AV,Prospect Av,R,BMT,Bk,4th Ave,Prospect Ave,,N/B,,Open,,,1,40.665179,-73.992900
C015,PROSPECT AV,Prospect Av,R,BMT,Bk,4th Ave,Prospect Ave,,S/B,,Open,,,0,40.665360,-73.993147
C016,25 ST,25 St,R,BMT,Bk,4th Ave,25th St,,N/B,,Open,,,1,40.660216,-73.998057
C017,25 ST,25 St,R,BMT,Bk,4th Ave,25th St,,S/B,,Open,,,0,40.660377,-73.998328
C018,36 ST,36 St,DNR,BMT,Bk,4th Ave,36th St,,Mez,,Open,,,1,40.654501,-74.004278
C019,45 ST,45 St,R,BMT,Bk,4th Ave,45th St,,Mez,,Open,,,1,40.649359,-74.009589
C020,53 ST,53 St,R,BMT,Bk,4th Ave,53rd St,,Mez,,Open,,,1,40.644704,-74.014433
C021,59 ST,59 St,NRW,BMT,Bk,4th Ave,59th St,,Mez,,Open,,,1,40.641565,-74.017661
C022,59 ST,59 St,NRW,BMT,Bk,4th Ave,60th St,,Mez,,Open,,,0,40.640723,-74.018589
C023,BAY RIDGE AV,Bay Ridge Av,R,BMT,Bk,4th Ave,Bay Ridge Ave,,Mez,,Open,,,1,40.634831,-74.023432
C024,77 ST,77 St,R,BMT,Bk,4th Ave,77th St,,Mez,,Open,,,1,40.629605,-74.025570
C025,86 ST,86 St,R,BMT,Bk,4th Ave,86th St,,Mez,,Open,,,1,40.622529,-74.028464
C026,86 ST,86 St,R,BMT,Bk,4th Ave,85th St,,Mez,,Open,,,0,40.623387,-74.028124
C027,BAY RIDGE-95 ST,Bay Ridge-95 St,R,BMT,Bk,4th Ave,95th St,,Mez,,Open,,,,40.616136,-74.031072
C028,BAY RIDGE-95 ST,Bay Ridge-95 St,R,BMT,Bk,4th Ave,93rd St,,Mez,,Open,,,,40.617410,-74.030552
D001,8 AV,8 Av,N,BMT,Bk,Sea Beach Line (61st-62nd Sts),7th Ave,,Mez,,Open,,,0,40.635374,-74.012540
D002,8 AV,8 Av,N,BMT,Bk,Sea Beach Line (61st-62nd Sts),8th Ave,,Mez,,Open,,,1,40.634661,-74.010829
D003,FT HAMILTON PKY,Fort Hamilton Pkwy,N,BMT,Bk,Sea Beach Line (61st-62nd Sts),Fort Hamilton Pkwy,,Mez,,Open,,,1,40.632122,-74.006562
D004,FT HAMILTON PKY,Fort Hamilton Pkwy,N,BMT,Bk,Sea Beach Line (61st-62nd Sts),11th Ave,,Mez,,Open,,,0,40.630678,-74.004156
D005,NEW UTRECHT AV,New Utrecht Av,ND,BMT,Bk,Sea Beach Line (62nd St),New Utrecht Ave,,Mez,,Open,,,1,40.625554,-73.996786
D006,NEW UTRECHT AV,New Utrecht Av,ND,BMT,Bk,Sea Beach Line (63rd-64th Sts),15th Ave,,Mez,,Open,,,0,40.624198,-73.995952
D007,18 AV,18 Av,N,BMT,Bk,Sea Beach Line (63rd-64th Sts),17th Ave,,Mez,,Open,D008,,0,40.621244,-73.991411
D008,18 AV,18 Av,N,BMT,Bk,Sea Beach Line (63rd-64th Sts),18th Ave,,Mez,,Open,,,1,40.620118,-73.989487
D009,20 AV,20 Av,N,BMT,Bk,Sea Beach Line (63rd-64th Sts),20th Ave,,Mez,,Open,,,1,40.617279,-73.984803
D010,BAY PKWY,Bay Pkwy,N,BMT,Bk,Sea Beach Line (W 7th-W 8th Sts),Bay Pkwy,,Mez,,Open,,,1,40.612882,-73.982075
D011,BAY PKWY,Bay Pkwy,N,BMT,Bk,Sea Beach Line (W 7th-W 8th Sts),Avenue O,,Mez,,Open,,,0,40.610642,-73.981632
D012,KINGS HWY,Kings Hwy,N,BMT,Bk,Sea Beach Line (W 7th-W 8th Sts),Kings Highway,,Mez,,Open,,,1,40.605043,-73.980571
D013,KINGS HWY,Kings Hwy,N,BMT,Bk,Sea Beach Line (W 7th-W 8th Sts),Highlawn Ave,,Mez,,Open,D012,,0,40.603143,-73.980200
D014,AVENUE U,Avenue U,N,BMT,Bk,Sea Beach Line (W 7th-W 8th Sts),Avenue T,,Mez,,Open,D015,,0,40.598439,-73.979316
D015,AVENUE U,Avenue U,N,BMT,Bk,Sea Beach Line (W 7th-W 8th Sts),Avenue U,,Mez,,Open,,,1,40.596525,-73.978960
D016,86 ST,86 St,N,BMT,Bk,Sea Beach Line (W 7th-W 8th Sts),86th St,,Mez,,Open,,,1,40.592826,-73.978254
E001,9 AV,9 Av,D,BMT,Bk,38th St,9th Ave,,Mez,,Open,,,1,40.646334,-73.994380
E003,FT HAMILTON PKY,Fort Hamilton Pkwy,D,BMT,Bk,New Utrecht Ave,"45th St, Fort Hamilton Pkwy",,Mez,,Open,,,1,40.640334,-73.994317
E004,50 ST,50 St,D,BMT,Bk,New Utrecht Ave,50th St,,Mez,,Open,,,1,40.635808,-73.994863
E005,55 ST,55 St,D,BMT,Bk,New Utrecht Ave,55th St,,Mez,,Open,,,1,40.631572,-73.995442
E006,62 ST,62 St,ND,BMT,Bk,New Utrecht Ave,60th St,,Mez,,Open,D005,,0,40.627197,-73.996690
E008,71 ST,71 St,D,BMT,Bk,New Utrecht Ave,69th St,,Mez,,Open,E009,,0,40.620299,-73.998673
E009,71 ST,71 St,D,BMT,Bk,New Utrecht Ave,71st St,,Mez,,Open,,,1,40.618962,-73.999053
E010,79 ST,79 St,D,BMT,Bk,New Utrecht Ave,77th St,,Mez,,Open,E011,,0,40.614182,-74.000419
E011,79 ST,79 St,D,BMT,Bk,New Utrecht Ave,79th St,,Mez,,Open,,,1,40.612971,-74.000777
E012,18 AV,18 Av,D,BMT,Bk,New Utrecht Ave,18th Ave,,Mez,,Open,,,1,40.607758,-74.001712
E013,20 AV,20 Av,D,BMT,Bk,86th St,20th Ave,,Mez,,Open,,,1,40.604554,-73.998159
E014,BAY PKWY,Bay Pkwy,D,BMT,Bk,86th St,Bay Pkwy,,Mez,,Open,,,1,40.601988,-73.993888
E015,25 AV,25 Av,D,BMT,Bk,86th St,25th Ave,,Mez,,Open,,,1,40.597889,-73.987126
E016,BAY 50 ST,Bay 50 St,D,BMT,Bk,Stillwell Ave,Bay 50th St,,Mez,,Open,,,1,40.588228,-73.983651
G001,CONEY IS-STILLW,Coney Island-Stillwell Av,DFNQ,BMT,Bk,Stillwell Ave,Surf Ave,,Mez,,Open,,,1,40.576587,-73.980969
G009,CONEY IS-STILLW,Coney Island-Stillwell Av,DFNQ,BMT,Bk,Stillwell Ave,Mermaid Ave,,Mez,,Open,,,1,40.577003,-73.980885
G011,W 8 ST-AQUARIUM,W 8 St-NY Aquarium,FQ,BMT,Bk,W Brighton Ave,W 8th St,,Mez,,Open,,,1,40.575939,-73.976552
G015,W 8 ST-AQUARIUM,W 8 St-NY Aquarium,FQ,BMT,Bk,W Brighton Ave,W 6th St,,Mez,,Open,,,0,40.576453,-73.974926
H001,8 AV,8 Av,ACEL,BMT,M,W 14th St,8th Ave,,Mez,,Open,,,1,40.739764,-74.002521
H002,6 AV,6 Av,FLM123,BMT,M,W 14th St,6th Ave,W/S,Mez,,Closed,,Platform access removed but mez still open,0,40.737526,-73.997224
H003,6 AV,6 Av,FLM123,BMT,M,W 14th St,6th Ave,E/S,Mez,,Open,,,0,40.737288,-73.996657
H005,3 AV,3 Av,L,BMT,M,E 14th St,3rd Ave,,N/B,,Open,,,0,40.733200,-73.986713
H006,3 AV,3 Av,L,BMT,M,E 14th St,3rd Ave,,S/B,,Open,,,1,40.733046,-73.986836
H007,1 AV,1 Av,L,BMT,M,E 14th St,1st Ave,,N/B,,Open,,,0,40.731396,-73.982321
H007A,1 AV,1 Av,L,BMT,M,E 14th St,Avenue A,,N/B,,Open,,,0,40.730559,-73.980373
H008,1 AV,1 Av,L,BMT,M,E 14th St,1st Ave,,S/B,,Open,,,0,40.731177,-73.982476
H008A,1 AV,1 Av,L,BMT,M,E 14th St,Avenue A,,S/B,,Open,H007A,,0,40.730436,-73.980646
H009,BEDFORD AV,Bedford Av,L,BMT,Bk,N 7th St,Bedford Ave,,Mez,,Open,,,1,40.717836,-73.957719
H010,BEDFORD AV,Bedford Av,L,BMT,Bk,N 7th St,Driggs Ave,,Mez,,Open,,,0,40.717026,-73.956443
