booth,station_id,station_id_2,station_id_3,complex_id,stop_name,complex_name
N078,166,,,618,14 St,14 St / 8 Av
N079,166,,,618,14 St,14 St / 8 Av
N080,167,,,167,W 4 St-Wash Sq,
N081,167,,,167,W 4 St-Wash Sq,
N083,167,,,167,W 4 St-Wash Sq,
N086,168,,,168,Spring St,
N087,168,,,168,Spring St,
N088,169,,,169,Canal St,
N089,169,,,169,Canal St,
N090,169,,,169,Canal St,
N091,170,,,624,Chambers St,Chambers St / WTC / Park Place / Cortlandt St
N092,170,331,,624,Chambers St,Chambers St / WTC / Park Place / Cortlandt St
N094,171,,,624,World Trade Center,Chambers St / WTC / Park Place / Cortlandt St
N095,172,412,,628,Fulton St,Fulton St
N095A,172,412,,628,Fulton St,Fulton St
N098,172,332,,628,Fulton St,Fulton St
N100,173,,,173,High St,
N101,173,,,173,High St,
N102,174,,,636,Jay St-MetroTech,Jay St - MetroTech
N103,174,,,636,Jay St-MetroTech,Jay St - MetroTech
N108,175,,,175,Hoyt-Schermerhorn Sts,
N110,176,,,176,Lafayette Av,
N111,177,,,177,Clinton-Washington Avs,
N111A,177,,,177,Clinton-Washington Avs,
N112,177,,,177,Clinton-Washington Avs,
N112A,177,,,177,Clinton-Washington Avs,
N113,178,,,627,Franklin Av,Franklin Av
N114,178,139,,627,Franklin Av,Franklin Av
N114A,178,,,627,Franklin Av,Franklin Av
N116,179,,,179,Nostrand Av,
N117,179,,,179,Nostrand Av,
N118,180,,,180,Kingston-Throop Avs,
N119,180,,,180,Kingston-Throop Avs,
N120,181,,,181,Utica Av,
N120A,181,,,181,Utica Av,
N121B,182,,,182,Ralph Av,
N122,183,,,183,Rockaway Av,
N123A,183,,,183,Rockaway Av,
N123B,183,,,183,Rockaway Av,
N124,184,92,132,621,Broadway Junction,Broadway Junction
N125,185,,,185,Liberty Av,
N126,186,,,186,Van Siclen Av,
N127,187,,,187,Shepherd Av,
N128,188,,,188,Euclid Av,
N129,189,,,189,Grant Av,
N130,190,,,190,80 St,
N131,190,,,190,80 St,
N133,191,,,191,88 St,
N134,192,,,192,Rockaway Blvd,
N135,192,,,192,Rockaway Blvd,
N137,193,,,193,104 St,
N138,194,,,194,111 St,
N139,194,,,194,111 St,
N141,195,,,195,Ozone Park-Lefferts Blvd,
N181A,196,,,196,Aqueduct Racetrack,
N181,197,,,197,Aqueduct-N Conduit Av,
N182,198,,,198,Howard Beach-JFK Airport,
N182A,198,,,198,Howard Beach-JFK Airport,
N183,199,,,199,Broad Channel,
N184,200,,,200,Beach 90 St,
N185,201,,,201,Beach 98 St,
N186,202,,,202,Beach 105 St,
N187,203,,,203,Rockaway Park-Beach 116 St,
N191,204,,,204,Beach 67 St,
N192,205,,,205,Beach 60 St,
N193,206,,,206,Beach 44 St,
N194,207,,,207,Beach 36 St,
N195,208,,,208,Beach 25 St,
N196,209,,,209,Far Rockaway-Mott Av,
